session_id,model,input_tokens,output_tokens,total_tokens
1c3b05aadd124f6da18875d31a6e2613,unknown,0,0,0
1caee13021ba418daca75ce56dbefa1b,ark/deepseek-v3,2377,428,2805
1caee13021ba418daca75ce56dbefa1b,unknown,0,0,0
1cf679e4d49e43a1aaf0af38c320acdc,ark/deepseek-v3,4605,154,4759
1cf679e4d49e43a1aaf0af38c320acdc,deepseek-chat,12123,2659,14782
1cf679e4d49e43a1aaf0af38c320acdc,unknown,0,0,0
1d5c1315d39945b3a32b15494f5eb3af,unknown,0,0,0
1da29497325d49e999305d102cc3ec4d,unknown,0,0,0
1dcaddf60f09431cbd00c15ea788fce7,unknown,0,0,0
1dfa886a07a344a0bc6be1e64a7a5d97,ark/deepseek-v3,465,101,566
1e152c0327b741be83ebdbebdf8c7687,unknown,0,0,0
1e1cafe1101d4983bbc4c1f00dfa273e,unknown,0,0,0
1e364d9cea5d484b873b04d374a8cfcf,deepseek-chat,4,269,273
1e364d9cea5d484b873b04d374a8cfcf,unknown,0,0,0
1e579a0a846548b2a8544bf3dea325e1,gpt-4o-2024-05-13,100,0,100
1e579a0a846548b2a8544bf3dea325e1,unknown,0,0,0
1e7bf11fb6934272bd4cbd1ee5b52f81,unknown,0,0,0
1ea1afaa31bb488c9f8ef97381d90e21,deepseek-chat,4840,425,5265
1ea1afaa31bb488c9f8ef97381d90e21,unknown,0,0,0
1ecb3a7423504df38aa3daea7865b493,deepseek-chat,106,2483,2589
1ecb3a7423504df38aa3daea7865b493,unknown,0,0,0
1edba0ddcc6f49e388f74925cf1d466c,deepseek-chat,1955,941,2896
1edba0ddcc6f49e388f74925cf1d466c,unknown,0,0,0
1ef420d9d563409bb6ad70bf5c44e4dd,ark/deepseek-v3,1061,304,1365
1ef420d9d563409bb6ad70bf5c44e4dd,unknown,0,0,0
1f03b493c33746858a12a1c614af5f05,deepseek-chat,2144,348,2492
1f03b493c33746858a12a1c614af5f05,unknown,0,0,0
1f261670a285493aa9084af1665124b2,ark/deepseek-v3,465,88,553
1f30fc4a5c5d43feb74eb1f517c73a64,unknown,0,0,0
1f3e8fc3e63242e2a7c24ce6e3aabb69,deepseek-chat,5,15,20
1f3e8fc3e63242e2a7c24ce6e3aabb69,unknown,0,0,0
1f52aea3b4c14949b8ea3485abb9ab27,ark/deepseek-v3,1455,190,1645
1f52aea3b4c14949b8ea3485abb9ab27,unknown,0,0,0
1f5bb6d60efc419989cfd149fa919c76,deepseek-chat,2442,323,2765
1f5bb6d60efc419989cfd149fa919c76,unknown,0,0,0
